client_id,name,age,gender,income,credit_score,income_category,age_group
87843,Amy Baker,47,Male,26974,786,Low,Adult
36726,Whitney Mitchell,27,Female,56582,607,Medium,Adult
22198,Haley Thompson,21,Male,35070,676,Low,Young
25196,Dana Haynes,51,Female,123722,459,High,Senior
57044,Jean Roach,65,Female,24706,458,Low,Senior
37026,Dawn Banks,69,Male,147372,818,High,Senior
64020,Eric Harris,41,Male,66045,674,Medium,Adult
1253,Gregory Lee,40,Female,116463,788,High,Adult
3374,Amanda Stuart,40,Female,123589,317,High,Adult
33372,Daniel Irwin,18,Male,30268,503,Low,Young
73521,John Anderson,60,Female,113748,400,High,Senior
62789,Patricia Blair,58,Male,122012,426,High,Senior
14369,Misty Avery,68,Male,39339,335,Low,Senior
53032,Laura Cantu,75,Female,141018,478,High,Senior
69530,Donald Shepard,20,Male,121349,405,High,Young
34510,John Martinez,75,Male,93827,394,High,Senior
1028,Kenneth Doyle,24,Female,141066,465,High,Young
38709,Krystal Sanchez,57,Female,132406,312,High,Senior
97378,Heather Hood,41,Male,88339,509,High,Adult
87931,Nicole Reed,60,Female,39652,707,Low,Senior
4938,Matthew Aguilar,62,Male,21123,568,Low,Senior
73462,Amanda Hampton,78,Male,99902,503,High,Senior
11559,Michael Howard,39,Female,138413,579,High,Adult
69807,Jacob Murray,74,Male,134995,480,High,Senior
99841,Tanya English,48,Male,37140,827,Low,Adult
11177,Suzanne Combs,59,Female,97568,801,High,Senior
7368,Larry Rollins,50,Male,52676,554,Medium,Adult
58433,Jeffrey Carter,73,Male,139389,422,High,Senior
84639,Elizabeth Brooks,19,Male,34009,306,Low,Young
60645,Kathy Martin,31,Female,136553,794,High,Adult
99343,Amanda Bartlett,72,Male,38361,752,Low,Senior
75150,Jeremiah Mcconnell,32,Male,29658,542,Low,Adult
81205,Jennifer Garcia,48,Male,107096,743,High,Adult
62974,David Cox,54,Female,91286,456,High,Senior
11886,Sharon Fernandez,25,Male,32437,581,Low,Young
16274,Jennifer Barber MD,21,Male,33582,578,Low,Young
22060,Dr. Mia Larson,31,Male,88670,443,High,Adult
11701,Michael Murphy,70,Female,88077,637,High,Senior
60393,Sandra Young,77,Male,144196,802,High,Senior
71563,Michael Jacobs,62,Female,97259,759,High,Senior
2623,Andrew Stephens,23,Male,31926,743,Low,Young
61216,Jim Norris,28,Male,90758,320,High,Adult
88927,Jessica Pham,73,Male,79834,342,Medium,Senior
47521,Jeanne Aguilar,52,Male,143509,600,High,Senior
1227,Samuel Olson,70,Male,43675,589,Medium,Senior
98128,Alexandra Webb,23,Female,119791,450,High,Young
35486,Cynthia Ritter,26,Male,95106,610,High,Adult
86017,Joshua Ramos,25,Male,51565,332,Medium,Young
5455,Linda Williams,64,Female,147229,507,High,Senior
39799,Geoffrey Villanueva,58,Male,82765,475,High,Senior
23979,Daniel Harrell,20,Female,51777,333,Medium,Young
58023,Alex Shaw,80,Female,110463,323,High,Senior
87182,Megan Lee,27,Female,124005,400,High,Adult
28575,Gavin Parker,57,Male,95489,545,High,Senior
97415,Louis Gonzalez,65,Male,40704,751,Medium,Senior
15185,Heather Griffin,46,Male,104712,341,High,Adult
50753,Kaitlyn Pearson,59,Male,98874,765,High,Senior
31046,Peter Bradford,56,Female,25824,538,Low,Senior
85081,Sherri Miles,46,Female,109599,820,High,Adult
18362,Phyllis Garcia,78,Male,39312,688,Low,Senior
17451,Chelsea Thomas,75,Male,35255,394,Low,Senior
38057,Alan Wilson,53,Female,75914,586,Medium,Senior
54756,Ronald Greene,27,Female,121621,650,High,Adult
99347,Kristin Wolf,69,Male,94070,617,High,Senior
59236,Julia Andrade,37,Female,63865,812,Medium,Adult
42709,Nathan Case,75,Female,44710,598,Medium,Senior
60324,Victoria Porter,27,Female,46848,361,Medium,Adult
19727,Kelly Chaney,53,Male,36277,731,Low,Senior
21239,Julie Flynn,65,Male,110843,648,High,Senior
38165,Justin Gardner,80,Female,25385,677,Low,Senior
87668,Jennifer Mccoy,19,Female,112800,777,High,Young
95846,Phyllis Velasquez,42,Female,124784,842,High,Adult
32194,Scott Myers,63,Male,134796,603,High,Senior
76253,Anna Walton,19,Female,55746,724,Medium,Young
82710,Beverly Mcmahon,50,Male,102027,311,High,Adult
3293,Peter Olson,45,Male,118428,509,High,Adult
73299,Ana Taylor,77,Male,75283,691,Medium,Senior
45914,Dylan Ortiz,75,Male,32240,689,Low,Senior
6840,Felicia Hunter,75,Male,137909,576,High,Senior
86851,Jesse Perez,29,Male,23324,525,Low,Adult
2296,Jerry Ramsey,65,Male,57272,657,Medium,Senior
79266,Kimberly Campbell,77,Female,96089,840,High,Senior
48982,Matthew Owens,75,Male,107292,512,High,Senior
8053,Bradley Morales,57,Female,34702,459,Low,Senior
56125,Tammy Fleming,37,Male,149321,714,High,Adult
83807,Jonathan Ferguson,25,Male,120824,552,High,Young
56345,Carlos Alvarez,25,Male,79090,791,Medium,Young
16746,Adam Barrett,27,Female,89180,327,High,Adult
96832,Kathryn Morrison,30,Male,40585,640,Medium,Adult
51910,Michael Gonzalez,52,Female,127748,563,High,Senior
71669,Kevin Garcia,24,Female,149192,671,High,Young
77710,Chase Rodriguez MD,43,Female,65457,684,Medium,Adult
46833,George King,24,Female,83578,477,High,Young
76273,Shane Robinson,56,Male,122284,475,High,Senior
59487,Alex Zimmerman,43,Female,115584,612,High,Adult
8923,Lauren Chandler,79,Female,79647,779,Medium,Senior
68484,Dustin Ray,65,Male,108171,840,High,Senior
69941,William Kennedy,31,Female,116200,752,High,Adult
91259,Megan Williams,77,Male,69925,666,Medium,Senior
41387,John Curry,29,Female,37820,361,Low,Adult
69372,Jamie Vasquez,47,Male,102360,343,High,Adult
89416,Mark Donovan,47,Male,99958,850,High,Adult
9589,Kyle Lopez DDS,36,Female,67718,699,Medium,Adult
5348,Kelly Wilson,51,Female,104154,848,High,Senior
73148,Wanda Olson,27,Male,22800,739,Low,Adult
6959,Mark Middleton,40,Female,21763,443,Low,Adult
72810,Theresa Martinez,45,Female,98735,619,High,Adult
80241,Ryan Gilbert,31,Female,111356,596,High,Adult
81439,Michelle Griffin,60,Female,50833,341,Medium,Senior
34677,Sherri Porter,80,Male,100229,601,High,Senior
92164,Rebecca Miller,25,Female,26896,374,Low,Young
40043,Jennifer Webb,40,Female,146465,456,High,Adult
35587,John Rogers,20,Female,43392,425,Medium,Young
22554,Douglas Lawrence,64,Male,73120,527,Medium,Senior
48354,Bradley Crane,69,Male,62724,406,Medium,Senior
22602,Jimmy Elliott,69,Female,147745,798,High,Senior
45157,Sara Guerrero,28,Female,147360,548,High,Adult
73144,Jean Rice,80,Female,31949,660,Low,Senior
64454,Bailey Jackson,37,Male,109897,308,High,Adult
9091,Timothy Baker,76,Male,124354,466,High,Senior
49737,Misty Fleming,40,Female,58227,510,Medium,Adult
23197,Joseph Mcgee,80,Female,32626,544,Low,Senior
7704,Laura Page DDS,56,Male,114291,479,High,Senior
91674,Vickie Nelson,55,Female,22020,486,Low,Senior
10357,Gabriela Lester,71,Male,74667,334,Medium,Senior
9002,Carla Taylor,44,Male,66208,669,Medium,Adult
61163,Hunter Lawrence,25,Male,58214,474,Medium,Young
11897,Russell Stevens,65,Female,28738,435,Low,Senior
67843,Alejandro Long,24,Male,51926,367,Medium,Young
49673,Kathy Richardson,68,Male,95427,649,High,Senior
22149,Amanda Wilson,35,Male,136754,685,High,Adult
74271,Abigail Mercado,32,Female,112341,643,High,Adult
34250,Caitlyn Jefferson,66,Male,47838,757,Medium,Senior
97713,Rodney Harper,63,Female,24734,734,Low,Senior
75063,Connie Murphy,71,Male,118269,697,High,Senior
95789,Larry Scott,19,Female,87689,618,High,Young
57846,Erin Schultz,62,Female,37156,624,Low,Senior
50021,Erin Cohen,52,Male,55439,423,Medium,Senior
25039,Robert Wells,43,Male,89661,816,High,Adult
32372,Rodney Cortez MD,79,Female,120335,606,High,Senior
55121,Phyllis Wilcox,25,Female,69962,811,Medium,Young
50133,James Schneider,67,Male,57482,460,Medium,Senior
45388,Kimberly Griffith,67,Male,65677,564,Medium,Senior
55392,Mark Oliver,22,Male,128024,774,High,Young
83282,Erica Day,79,Male,94365,827,High,Senior
43363,Christopher Maldonado,23,Female,77512,586,Medium,Young
88072,Samuel Brooks,29,Male,30225,711,Low,Adult
36920,Russell Stewart,75,Female,56492,833,Medium,Senior
96959,Taylor Morton,19,Female,49357,838,Medium,Young
59352,Miss Kelly Hernandez,77,Male,45467,772,Medium,Senior
45970,Jennifer Murphy,40,Female,121286,830,High,Adult
50014,Kathy Bradley,63,Male,104018,565,High,Senior
29487,Whitney Wilson,25,Male,83814,322,High,Young
23440,Daniel Mendez,30,Female,136816,509,High,Adult
51012,Jacob Thomas,39,Male,128129,382,High,Adult
89421,Debbie Owens,73,Male,29277,786,Low,Senior
38018,Andrew Edwards,77,Female,24347,379,Low,Senior
52122,David Cain,48,Female,116099,435,High,Adult
42335,Alexandria Yang,78,Female,104410,340,High,Senior
78236,Crystal Logan,79,Male,141639,763,High,Senior
26863,Kathryn Rosario,70,Female,70803,406,Medium,Senior
25732,Gary Fuller,55,Female,126261,574,High,Senior
60651,Mrs. Anna Evans,37,Female,43648,548,Medium,Adult
46538,Dr. Brandi Baker,52,Male,67607,519,Medium,Senior
96032,Debbie Hamilton,52,Female,87098,314,High,Senior
96832,Lisa Anderson,72,Female,42600,697,Medium,Senior
21921,Shawn Simpson,52,Female,86924,688,High,Senior
26627,Gary Smith,26,Male,36593,807,Low,Adult
13095,Nicole Nicholson,20,Male,51013,717,Medium,Young
75573,Jessica Kim,56,Male,117216,739,High,Senior
88725,Carolyn Farley,36,Male,106171,431,High,Adult
16056,Brittney Sanchez,35,Male,20044,566,Low,Adult
62324,Charles Lam,44,Female,95743,451,High,Adult
71275,Adam Dixon,28,Female,145508,442,High,Adult
38874,Elizabeth Smith,45,Male,111291,504,High,Adult
32431,Steven Garza,39,Male,142419,448,High,Adult
33185,Bethany Clark,39,Male,139663,658,High,Adult
6949,Michelle Lyons,55,Female,140510,483,High,Senior
75907,Mrs. Amy Harmon,56,Female,144692,785,High,Senior
87487,Jason Wood,70,Male,93213,336,High,Senior
74414,Abigail Steele,56,Female,38780,584,Low,Senior
47498,Anthony Black,27,Male,136743,312,High,Adult
7901,Keith Chapman,54,Female,86896,485,High,Senior
21125,Kimberly Turner,24,Female,78967,582,Medium,Young
88566,Monica Navarro,32,Male,49534,437,Medium,Adult
81817,Stephen Torres,69,Male,106900,755,High,Senior
12895,Brad Barnes,56,Female,126234,408,High,Senior
7015,Rachel Hart,55,Female,74715,837,Medium,Senior
56777,Jesse Gordon,79,Female,139906,623,High,Senior
23336,Melvin Clark,40,Female,85681,376,High,Adult
92313,Colin Cortez,75,Male,42045,580,Medium,Senior
87722,Kyle Hart,25,Male,23229,531,Low,Young
6174,Crystal Gonzales,30,Female,49343,765,Medium,Adult
5038,Thomas Hawkins,56,Female,48868,655,Medium,Senior
9478,Tyler Martin,78,Female,25565,698,Low,Senior
80389,Joseph Cook,59,Female,84264,817,High,Senior
