client_id,name,age,gender,income,credit_score,account_balance
87843,Amy Baker,47,Male,26974,786,20690.54
36726,Whitney Mitchell,27,Female,56582,607,14256.51
22198,Haley Thompson,21,Male,35070,676,15476.77
25196,Dana Haynes,51,Female,123722,459,15111.77
57044,Jean Roach,65,Female,24706,458,9487.86
37026,Dawn Banks,69,Male,147372,818,9739.11
64020,Eric Harris,41,Male,66045,674,3043.17
1253,Gregory Lee,40,Female,116463,788,14054.76
3374,Amanda Stuart,40,Female,123589,317,14054.21
33372,Daniel Irwin,18,Male,30268,503,18222.89
73521,John Anderson,60,Female,113748,400,25687.56
62789,Patricia Blair,58,Male,122012,426,5200.08
14369,Misty Avery,68,Male,39339,335,115.87
53032,Laura Cantu,75,Female,141018,478,7119.82
69530,Donald Shepard,20,Male,121349,405,1575.65
34510,John Martinez,75,Male,93827,394,42747.71
1028,Kenneth Doyle,24,Female,141066,465,17152.57
38709,Krystal Sanchez,57,Female,132406,312,10578.71
97378,Heather Hood,41,Male,88339,509,48844.01
87931,Nicole Reed,60,Female,39652,707,44297.57
4938,Matthew Aguilar,62,Male,21123,568,10928.78
73462,Amanda Hampton,78,Male,99902,503,21001.85
11559,Michael Howard,39,Female,138413,579,9799.07
69807,Jacob Murray,74,Male,134995,480,4494.57
99841,Tanya English,48,Male,37140,827,2080.57
11177,Suzanne Combs,59,Female,97568,801,26774.69
7368,Larry Rollins,50,Male,52676,554,7239.1
58433,Jeffrey Carter,73,Male,139389,422,15112.54
84639,Elizabeth Brooks,19,Male,34009,306,49296.88
60645,Kathy Martin,31,Female,136553,794,8613.13
99343,Amanda Bartlett,72,Male,38361,752,49371.35
75150,Jeremiah Mcconnell,32,Male,29658,542,25721.47
81205,Jennifer Garcia,48,Male,107096,743,36881.38
62974,David Cox,54,Female,91286,456,27028.53
11886,Sharon Fernandez,25,Male,32437,581,4751.19
16274,Jennifer Barber MD,21,Male,33582,578,4097.67
22060,Dr. Mia Larson,31,Male,88670,443,24936.27
11701,Michael Murphy,70,Female,88077,637,37098.48
60393,Sandra Young,77,Male,144196,802,4173.76
71563,Michael Jacobs,62,Female,97259,759,47949.37
2623,Andrew Stephens,23,Male,31926,743,8270.55
61216,Jim Norris,28,Male,90758,320,17858.94
88927,Jessica Pham,73,Male,79834,342,14036.94
47521,Jeanne Aguilar,52,Male,143509,600,43027.98
1227,Samuel Olson,70,Male,43675,589,39012.51
98128,Alexandra Webb,23,Female,119791,450,9894.1
35486,Cynthia Ritter,26,Male,95106,610,7796.71
86017,Joshua Ramos,25,Male,51565,332,907.42
5455,Linda Williams,64,Female,147229,507,8854.77
39799,Geoffrey Villanueva,58,Male,82765,475,24575.96
23979,Daniel Harrell,20,Female,51777,333,13199.54
58023,Alex Shaw,80,Female,110463,323,42082.68
87182,Megan Lee,27,Female,124005,400,36232.77
28575,Gavin Parker,57,Male,95489,545,11667.69
97415,Louis Gonzalez,65,Male,40704,751,14274.08
15185,Heather Griffin,46,Male,104712,341,2996.57
50753,Kaitlyn Pearson,59,Male,98874,765,17372.95
31046,Peter Bradford,56,Female,25824,538,34994.82
85081,Sherri Miles,46,Female,109599,820,15079.38
18362,Phyllis Garcia,78,Male,39312,688,30898.15
17451,Chelsea Thomas,75,Male,35255,394,39578.11
38057,Alan Wilson,53,Female,75914,586,36831.15
54756,Ronald Greene,27,Female,121621,650,35059.38
99347,Kristin Wolf,69,Male,94070,617,45823.81
59236,Julia Andrade,37,Female,63865,812,2683.05
42709,Nathan Case,75,Female,44710,598,3753.36
60324,Victoria Porter,27,Female,46848,361,27662.87
19727,Kelly Chaney,53,Male,36277,731,8691.66
21239,Julie Flynn,65,Male,110843,648,40916.44
38165,Justin Gardner,80,Female,25385,677,28825.47
87668,Jennifer Mccoy,19,Female,112800,777,43818.8
95846,Phyllis Velasquez,42,Female,124784,842,21547.52
32194,Scott Myers,63,Male,134796,603,10802.11
76253,Anna Walton,19,Female,55746,724,8611.3
82710,Beverly Mcmahon,50,Male,102027,311,12949.54
3293,Peter Olson,45,Male,118428,509,42287.05
73299,Ana Taylor,77,Male,75283,691,28987.01
45914,Dylan Ortiz,75,Male,32240,689,32255.53
6840,Felicia Hunter,75,Male,137909,576,38998.22
