client_id,name,age,gender,income,credit_score
87843,Amy Baker,47,Male,26974,786
36726,Whitney Mitchell,27,Female,56582,607
22198,Haley Thompson,21,Male,35070,676
25196,Dana Haynes,51,Female,123722,459
57044,Jean Roach,65,Female,24706,458
37026,Dawn Banks,69,Male,147372,818
64020,Eric Harris,41,Male,66045,674
1253,Gregory Lee,40,Female,116463,788
3374,Amanda Stuart,40,Female,123589,317
33372,Daniel Irwin,18,Male,30268,503
73521,John Anderson,60,Female,113748,400
62789,Patricia Blair,58,Male,122012,426
14369,Misty Avery,68,Male,39339,335
53032,Laura Cantu,75,Female,141018,478
69530,Donald Shepard,20,Male,121349,405
34510,John Martinez,75,Male,93827,394
1028,Kenneth Doyle,24,Female,141066,465
38709,Krystal Sanchez,57,Female,132406,312
97378,Heather Hood,41,Male,88339,509
87931,Nicole Reed,60,Female,39652,707
4938,Matthew Aguilar,62,Male,21123,568
73462,Amanda Hampton,78,Male,99902,503
11559,Michael Howard,39,Female,138413,579
69807,Jacob Murray,74,Male,134995,480
99841,Tanya English,48,Male,37140,827
11177,Suzanne Combs,59,Female,97568,801
7368,Larry Rollins,50,Male,52676,554
58433,Jeffrey Carter,73,Male,139389,422
84639,Elizabeth Brooks,19,Male,34009,306
60645,Kathy Martin,31,Female,136553,794
99343,Amanda Bartlett,72,Male,38361,752
75150,Jeremiah Mcconnell,32,Male,29658,542
81205,Jennifer Garcia,48,Male,107096,743
62974,David Cox,54,Female,91286,456
11886,Sharon Fernandez,25,Male,32437,581
16274,Jennifer Barber MD,21,Male,33582,578
22060,Dr. Mia Larson,31,Male,88670,443
11701,Michael Murphy,70,Female,88077,637
60393,Sandra Young,77,Male,144196,802
71563,Michael Jacobs,62,Female,97259,759
2623,Andrew Stephens,23,Male,31926,743
61216,Jim Norris,28,Male,90758,320
88927,Jessica Pham,73,Male,79834,342
47521,Jeanne Aguilar,52,Male,143509,600
1227,Samuel Olson,70,Male,43675,589
98128,Alexandra Webb,23,Female,119791,450
35486,Cynthia Ritter,26,Male,95106,610
86017,Joshua Ramos,25,Male,51565,332
5455,Linda Williams,64,Female,147229,507
39799,Geoffrey Villanueva,58,Male,82765,475
23979,Daniel Harrell,20,Female,51777,333
58023,Alex Shaw,80,Female,110463,323
87182,Megan Lee,27,Female,124005,400
28575,Gavin Parker,57,Male,95489,545
97415,Louis Gonzalez,65,Male,40704,751
15185,Heather Griffin,46,Male,104712,341
50753,Kaitlyn Pearson,59,Male,98874,765
31046,Peter Bradford,56,Female,25824,538
85081,Sherri Miles,46,Female,109599,820
18362,Phyllis Garcia,78,Male,39312,688
17451,Chelsea Thomas,75,Male,35255,394
38057,Alan Wilson,53,Female,75914,586
54756,Ronald Greene,27,Female,121621,650
99347,Kristin Wolf,69,Male,94070,617
59236,Julia Andrade,37,Female,63865,812
42709,Nathan Case,75,Female,44710,598
60324,Victoria Porter,27,Female,46848,361
19727,Kelly Chaney,53,Male,36277,731
21239,Julie Flynn,65,Male,110843,648
38165,Justin Gardner,80,Female,25385,677
